"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.571188542E0,-6.604934692E0,1.425061417E1,-5.010118103E1
3.620801542E0,-6.433670044E0,1.392183304E1,-5.011134338E1
3.670413542E0,-6.740921021E0,1.369708633E1,-4.980993652E1
3.720026542E0,-6.643890381E0,1.384949875E1,-4.989335632E1
3.769639542E0,-6.461853027E0,1.382928848E1,-5.017196655E1
3.819251542E0,-6.542098999E0,1.370860672E1,-5.047839355E1
3.868864542E0,-6.278610229E0,1.356124496E1,-5.024020386E1
3.918477542E0,-6.738601685E0,1.333379745E1,-4.998529053E1
3.968089542E0,-6.512359619E0,1.355659103E1,-5.019146729E1
4.017702542E0,-6.697784424E0,1.264144516E1,-5.064941406E1
4.067315542E0,-6.745422363E0,1.283439255E1,-4.977397156E1
4.116927542E0,-6.616287231E0,1.252605057E1,-5.025274658E1
4.166540250E0,-6.179885864E0,1.277318192E1,-5.013072205E1
4.216152250E0,-5.846191406E0,1.236735916E1,-4.990917969E1
4.265765250E0,-6.331771851E0,1.233028030E1,-5.018156433E1
4.315378250E0,-6.223876953E0,1.246489334E1,-5.011424255E1
4.364990250E0,-6.182693481E0,1.268165970E1,-5.022013855E1
4.414603250E0,-5.923507690E0,1.282327652E1,-5.035478210E1
4.464216250E0,-6.153900146E0,1.275931168E1,-5.048693848E1
4.513828250E0,-6.240203857E0,1.275612259E1,-5.047715759E1
4.563441250E0,-6.424057007E0,1.270399857E1,-5.034191895E1
4.613054250E0,-6.499481201E0,1.276761246E1,-5.007073975E1
4.662666250E0,-6.548049927E0,1.297456741E1,-5.043165588E1
4.712279250E0,-6.479568481E0,1.281602097E1,-5.060514832E1
4.761892250E0,-6.608764648E0,1.319705582E1,-5.023912048E1
4.811504250E0,-6.794937134E0,1.304248428E1,-5.026039124E1
4.861117250E0,-6.619567871E0,1.340981674E1,-4.974761963E1
4.910729250E0,-6.622283936E0,1.278030777E1,-5.037002563E1
4.960342250E0,-6.519622803E0,1.367477798E1,-4.988333130E1
5.009955250E0,-6.799804688E0,1.360144424E1,-4.990539551E1
5.059567250E0,-6.731582642E0,1.346435928E1,-5.013328552E1
5.109180250E0,-6.612518311E0,1.374396133E1,-4.969737244E1
5.158794167E0,-6.544281006E0,1.352673721E1,-5.023312378E1
5.208406167E0,-6.524459839E0,1.337047195E1,-4.996406555E1
5.258019167E0,-6.714050293E0,1.333108902E1,-5.005886841E1
5.307631167E0,-6.516357422E0,1.347453690E1,-4.999549866E1
5.357244167E0,-6.535980225E0,1.329693222E1,-5.018421936E1
5.406857167E0,-6.729965210E0,1.361208725E1,-4.993263245E1
5.456469167E0,-6.763442993E0,1.384359360E1,-4.968725586E1
5.506082167E0,-6.660446167E0,1.360931015E1,-5.002011108E1
5.555694167E0,-6.563247681E0,1.346408463E1,-4.993290710E1
5.605307167E0,-6.908340454E0,1.383002853E1,-5.001876831E1
5.654920167E0,-7.013854980E0,1.368706131E1,-4.942138672E1
5.704532167E0,-7.002227783E0,1.358147049E1,-4.920594788E1
5.754145167E0,-6.825378418E0,1.369067764E1,-4.952604675E1
5.803758167E0,-6.791442871E0,1.349746323E1,-4.967572021E1
5.853370167E0,-6.570281982E0,1.343349838E1,-4.972923279E1
5.902983167E0,-6.169784546E0,1.343003464E1,-5.003161621E1
5.952595167E0,-6.619293213E0,1.338302231E1,-4.993576050E1
6.002208167E0,-6.961181641E0,1.363782120E1,-4.967282104E1
6.051821167E0,-6.681610107E0,1.320340347E1,-5.023059082E1
6.101433167E0,-6.733703613E0,1.339419174E1,-4.972099304E1
6.151045917E0,-7.048217773E0,1.306123734E1,-5.010600281E1
6.200657917E0,-6.634277344E0,1.331188583E1,-4.989694214E1
6.250270917E0,-6.458648682E0,1.332816696E1,-5.010394287E1
6.299882917E0,-6.812286377E0,1.321646500E1,-4.989952087E1
6.349495917E0,-6.739120483E0,1.323031235E1,-4.964105225E1
6.399108917E0,-6.465423584E0,1.305463028E1,-5.008956909E1
6.448720917E0,-6.856857300E0,1.336362839E1,-5.010014343E1
6.498333917E0,-7.059448242E0,1.360710526E1,-4.970045471E1
6.547945917E0,-6.966796875E0,1.368340683E1,-5.003451538E1
6.597558917E0,-7.220062256E0,1.379568863E1,-4.998329163E1
6.647171917E0,-7.679977417E0,1.392578506E1,-4.985382080E1
6.696783917E0,-7.894622803E0,1.380688858E1,-4.985470581E1
6.746396917E0,-7.910202026E0,1.361716080E1,-4.980500793E1
6.796008917E0,-7.005767822E0,1.426592636E1,-4.968569946E1
6.845621917E0,-6.677368164E0,1.482571793E1,-4.923080444E1
6.895233917E0,-6.199905396E0,1.514885330E1,-4.981280518E1
6.944846917E0,-5.495834351E0,1.577769089E1,-4.930012512E1
6.994459917E0,-5.312454224E0,1.529077530E1,-4.977610779E1
7.044071917E0,-6.083465576E0,1.571773911E1,-4.948902893E1
7.093684917E0,-6.664428711E0,1.549458694E1,-4.968682861E1
7.143297167E0,-7.723556519E0,1.541932297E1,-4.937812805E1
7.192910167E0,-7.628799438E0,1.556363297E1,-4.947312927E1
7.242523167E0,-8.395248413E0,1.577699661E1,-4.925968933E1
7.292135167E0,-8.759170532E0,1.593031693E1,-4.887220764E1
7.341748167E0,-9.040969849E0,1.636404800E1,-4.879415894E1
7.391360167E0,-8.860137939E0,1.626247787E1,-4.880445862E1
7.440973167E0,-8.843276978E0,1.601506424E1,-4.866110229E1
7.490585167E0,-8.499038696E0,1.652885056E1,-4.871893311E1
