"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.677872167E0,1.034498749E0,-7.665559387E-1,9.583221588E0
7.727485167E0,6.180647278E-1,-4.617897034E-1,9.663604431E0
7.777097167E0,5.319937134E-1,-8.373587036E-1,9.160500641E0
7.826710167E0,8.402027893E-1,-5.522016907E-1,9.611812134E0
7.876322167E0,5.165757751E-1,-8.434959412E-1,9.395960999E0
7.925935167E0,5.855822754E-1,-2.767744446E-1,9.826615448E0
7.975547167E0,7.420069885E-1,-4.995112610E-1,9.842183075E0
8.025160167E0,6.632707214E-1,-4.248165894E-1,9.755064240E0
8.074772167E0,9.355545044E-1,-2.427951050E-1,9.582323456E0
8.124385167E0,7.855664063E-1,-3.847000122E-1,9.770781555E0
8.173997917E0,6.640191650E-1,-3.556604004E-1,9.775571594E0
8.223609917E0,8.602610779E-1,-2.781216431E-1,9.658664703E0
8.273222917E0,4.495152283E-1,-6.789880371E-1,9.558223572E0
8.322834917E0,7.752378845E-1,-2.902464294E-1,9.661957855E0
8.372447917E0,2.459385681E-1,-3.147953796E-1,9.917925568E0
8.422059917E0,1.205592957E0,-3.424877930E-1,9.766141205E0
8.471672917E0,4.029620361E-1,-3.809577942E-1,9.549092560E0
8.521284917E0,7.170089722E-1,-1.297801208E-1,9.526788940E0
8.570897917E0,1.067280579E0,-1.438508606E-1,9.576934662E0
8.620509917E0,8.023315430E-1,-1.824705505E-1,9.750573578E0
8.670122917E0,9.159452820E-1,-2.733316040E-1,9.588909760E0
8.719734917E0,7.120692444E-1,-2.204914856E-1,9.703721008E0
8.769347917E0,9.563612366E-1,-3.721261597E-1,9.812694397E0
8.818959917E0,7.092251587E-1,-4.282594299E-1,9.625583496E0
8.868572917E0,9.141490173E-1,-1.576222229E-1,9.675878906E0
8.918184917E0,6.271957397E-1,-2.619552612E-2,9.829758911E0
8.967797917E0,5.676196289E-1,2.484832764E-2,9.874216461E0
9.017410917E0,8.647517395E-1,-5.912704468E-2,9.829908600E0
9.067022917E0,8.449928284E-1,1.945953369E-2,9.561217346E0
9.116635917E0,7.920030212E-1,-1.332229614E-2,9.660311279E0
9.166247625E0,9.087602234E-1,-2.317181396E-1,9.559570770E0
9.215860625E0,9.247769165E-1,-3.468287659E-1,9.588909760E0
9.265472625E0,9.132508850E-1,-2.640509033E-1,9.676627350E0
9.315085625E0,8.834628296E-1,-3.763174438E-1,9.632918243E0
9.364697625E0,8.101153564E-1,-3.709286499E-1,9.548643494E0
9.414310625E0,9.457333374E-1,-3.321592712E-1,9.756112061E0
9.463922625E0,7.943980408E-1,-3.180885315E-1,9.583371277E0
9.513535625E0,8.762777710E-1,-1.318757629E-1,9.780062256E0
9.563147625E0,7.111711121E-1,-1.951940918E-1,9.816436615E0
9.612760625E0,8.018824768E-1,-2.766247559E-1,9.674831085E0
9.662372625E0,8.583151245E-1,-8.801696777E-2,9.803114319E0
9.711985625E0,7.237449646E-1,-2.805166626E-1,9.468859406E0
9.761597625E0,9.134005737E-1,-2.466870117E-1,9.609417114E0
9.811210625E0,1.068178711E0,-3.577560425E-1,9.633367310E0
9.860822625E0,7.521858215E-1,-3.680845642E-1,9.558522949E0
9.910435625E0,8.963360596E-1,-4.818479919E-1,9.689949646E0
9.960047625E0,9.098080444E-1,-3.749702454E-1,9.702373810E0
1.000966063E1,7.027885437E-1,-3.671864319E-1,9.613907776E0
1.005927263E1,1.017883301E0,-2.402503967E-1,9.777367859E0
1.010888563E1,1.008303223E0,-3.788621521E-1,9.468859406E0
1.015849800E1,7.702981567E-1,-3.308120728E-2,9.934990082E0
1.020811100E1,4.867877197E-1,-4.906796265E-1,9.487720184E0
1.025772300E1,8.053253174E-1,-3.838018799E-1,9.827513580E0
1.030733600E1,8.128097534E-1,-3.921844482E-1,9.481133881E0
1.035694800E1,1.106499023E0,-6.015989685E-1,9.738748169E0
1.040656100E1,7.131170654E-1,-3.812571716E-1,9.685009918E0
1.045617300E1,1.172511749E0,-6.613247681E-1,9.450896759E0
1.050578600E1,1.077459412E0,-6.327342224E-1,9.700278168E0
1.055539800E1,1.340462494E0,-5.971083069E-1,9.666598206E0
1.060501000E1,1.055006104E0,-6.999444580E-1,9.598789215E0
1.065462300E1,9.108558655E-1,-6.842271423E-1,9.511371002E0
1.070423500E1,8.580157471E-1,-5.402265930E-1,9.822274475E0
1.075384800E1,9.776170349E-1,-5.180726624E-1,9.740245056E0
1.080346000E1,8.542735291E-1,-6.411167908E-1,9.635013885E0
1.085307300E1,6.581813049E-1,-7.515870667E-1,9.617500305E0
1.090268500E1,1.312171326E0,-4.827461243E-1,9.720186768E0
1.095229800E1,5.885760498E-1,-7.102729797E-1,9.530082092E0
1.100191000E1,9.752220154E-1,-8.487350464E-1,9.624236298E0
1.105152300E1,9.503736877E-1,-8.324189758E-1,9.720186768E0
1.110113500E1,6.724017334E-1,-9.795629883E-1,9.504934387E0
1.115074729E1,9.604028320E-1,-6.944059753E-1,9.724827118E0
1.120035929E1,9.117539978E-1,-9.276210022E-1,9.673783264E0
1.124997229E1,9.128018188E-1,-6.888674927E-1,9.600136414E0
1.129958429E1,7.867639160E-1,-7.571255493E-1,9.626331940E0
1.134919629E1,9.882449341E-1,-8.029302979E-1,9.485774231E0
1.139880929E1,8.047265625E-1,-8.842112732E-1,9.633367310E0
