"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.714067958E0,1.922003174E-1,1.910028076E-1,9.680369568E0
7.764075958E0,1.014889526E-1,2.002835083E-1,9.823022919E0
7.814082958E0,1.395098877E-1,1.341210938E-1,9.971813507E0
7.864090958E0,4.849914551E-2,8.756790161E-2,9.312883759E0
7.914097958E0,2.511776733E-1,2.357597351E-1,1.038330780E1
7.964104958E0,3.861968994E-2,1.281335449E-1,9.589658203E0
8.014112958E0,1.743873596E-1,6.631210327E-2,9.846374359E0
8.064120083E0,-3.323089600E-2,1.841171265E-1,9.846823425E0
8.114127083E0,2.552192688E-1,2.445913696E-1,9.854008484E0
8.164135083E0,6.706054688E-2,5.328918457E-2,9.544302521E0
8.214142083E0,5.553451538E-2,9.325607300E-2,9.968520355E0
8.264149083E0,1.933978271E-1,2.921923828E-1,9.830058289E0
8.314156083E0,2.134561157E-1,1.538800049E-1,9.676627350E0
8.364164083E0,1.107696533E-1,1.317260742E-2,1.002989273E1
8.414171083E0,1.167572021E-2,1.083746338E-1,1.006716522E1
8.464178083E0,1.965412903E-1,2.168989563E-1,9.885742493E0
8.514186083E0,6.107299805E-2,1.255888367E-1,9.588311005E0
8.564193083E0,2.266287231E-1,1.972897339E-1,9.993967438E0
8.614200083E0,5.508544922E-2,-1.556762695E-2,9.512718201E0
8.664208083E0,2.848576355E-1,2.755769348E-1,1.008812164E1
8.714215083E0,-2.406994629E-1,1.730401611E-1,1.003513184E1
8.764222083E0,3.146456909E-1,1.404080200E-1,9.670041046E0
8.814229083E0,-3.667373657E-2,1.001417542E-1,9.859097900E0
8.864237083E0,2.261796570E-1,2.724334717E-1,9.993668060E0
8.914244083E0,-1.803749084E-1,1.128652954E-1,9.610165558E0
8.964251083E0,2.906954956E-1,2.121089172E-1,1.015413437E1
9.014258083E0,1.035845947E-1,1.212478638E-1,9.536219330E0
9.064265750E0,9.220825195E-2,1.689985657E-1,1.011611343E1
9.114273750E0,3.400927734E-1,2.342628479E-1,9.828411713E0
9.164280750E0,-2.585124207E-1,9.116043091E-2,9.993817749E0
9.214287750E0,3.369493103E-1,2.374063110E-1,9.554631042E0
9.264294750E0,-3.565585327E-1,1.474433899E-1,1.018661682E1
9.314301750E0,5.752537537E-1,3.418890381E-1,1.000399658E1
9.364309750E0,-9.250762939E-2,-9.220825195E-2,9.599986725E0
9.414316750E0,4.890330505E-1,2.541714478E-1,9.966574402E0
9.464323750E0,-1.737886047E-1,1.607656860E-1,9.734556885E0
9.514330750E0,9.265731812E-2,3.204835510E-1,9.946815491E0
9.564337750E0,8.113128662E-2,4.460723877E-2,9.791438599E0
9.614345750E0,1.413061523E-1,1.892065430E-1,9.930798798E0
9.664352750E0,2.784210205E-2,1.390608215E-1,9.683662720E0
9.714359750E0,1.534309387E-1,3.162922668E-1,9.738448792E0
9.764366750E0,1.604663086E-1,1.344204712E-1,1.009979736E1
9.814373750E0,-7.439529419E-2,1.890568542E-1,9.826615448E0
9.864380750E0,4.758604431E-1,2.257305908E-1,9.784852295E0
9.914387750E0,-2.652484131E-1,9.145980835E-2,9.767338715E0
9.964395750E0,2.966830444E-1,3.197351074E-1,9.982890472E0
1.001440275E1,2.260299683E-2,7.828720093E-2,9.654473419E0
1.006440908E1,9.250762939E-2,1.023870850E-1,9.779463501E0
1.011441608E1,1.028361511E-1,2.242337036E-1,9.944869537E0
1.016442308E1,8.068222046E-2,2.989283752E-1,9.994416504E0
1.021443008E1,-2.335144043E-2,9.759704590E-2,9.823022919E0
1.026443708E1,1.296304321E-1,1.865121460E-1,9.776020660E0
1.031444408E1,9.131011963E-2,1.210981750E-1,1.000264938E1
1.036445108E1,6.406677246E-2,1.342707825E-1,9.839039612E0
1.041445908E1,2.650987244E-1,1.456471252E-1,9.847571869E0
1.046446608E1,1.646575928E-3,4.385879517E-2,9.821975098E0
1.051447308E1,1.188528442E-1,1.571731567E-1,9.644593964E0
1.056448008E1,8.607101440E-2,1.474433899E-1,1.008228378E1
1.061448708E1,6.511459351E-2,1.014889526E-1,9.707463226E0
1.066449408E1,-4.266128540E-2,-7.933502197E-3,9.957892456E0
1.071450108E1,1.787283325E-1,2.607577515E-1,1.003109024E1
1.076450808E1,9.116043091E-2,-1.451980591E-2,9.757010193E0
1.081451508E1,6.077362061E-2,1.326242065E-1,9.789941711E0
1.086452208E1,8.816665649E-2,8.726852417E-2,9.860594788E0
1.091452908E1,2.228865051E-1,1.531315613E-1,1.017479141E1
