"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.004119917E0,2.983070374E0,1.447572327E1,-4.854400635E1
3.054122917E0,2.763107300E0,1.447955322E1,-4.868048096E1
3.104125917E0,2.572944641E0,1.458276367E1,-4.847326660E1
3.154128917E0,2.730884552E0,1.447123718E1,-4.856610107E1
3.204131917E0,2.807392120E0,1.442736816E1,-4.870190430E1
3.254134958E0,2.860210419E0,1.448776245E1,-4.818457031E1
3.304138958E0,2.779163361E0,1.466525269E1,-4.842333984E1
3.354141958E0,2.950263977E0,1.458641052E1,-4.864526367E1
3.404144958E0,2.835292816E0,1.449142456E1,-4.873333740E1
3.454147958E0,2.749237061E0,1.465339661E1,-4.850640869E1
3.504150958E0,2.659233093E0,1.432456970E1,-4.851818848E1
3.554153958E0,2.532032013E0,1.480712891E1,-4.836938477E1
3.604156958E0,2.722808838E0,1.455001831E1,-4.871807861E1
3.654159958E0,2.642536163E0,1.444744873E1,-4.884173584E1
3.704162958E0,2.484500885E0,1.464419556E1,-4.853576660E1
3.754165958E0,2.421371460E0,1.447691345E1,-4.868310547E1
3.804168958E0,2.368686676E0,1.466983032E1,-4.876025391E1
3.854172958E0,2.425441742E0,1.452809143E1,-4.865112305E1
3.904175958E0,2.447570801E0,1.449143982E1,-4.879376221E1
3.954178958E0,2.402526855E0,1.459770203E1,-4.871832275E1
4.004181958E0,2.430156708E0,1.446669006E1,-4.881848145E1
4.054184958E0,2.314407349E0,1.449147034E1,-4.853424072E1
4.104187958E0,2.330295563E0,1.425254822E1,-4.895483398E1
4.154190958E0,2.476245880E0,1.449859619E1,-4.843524170E1
4.204193958E0,2.306842804E0,1.448640442E1,-4.879254150E1
4.254196792E0,2.275558472E0,1.450651550E1,-4.873937988E1
4.304199792E0,2.218330383E0,1.452531433E1,-4.879193115E1
4.354202792E0,2.233646393E0,1.464736938E1,-4.837396240E1
4.404205792E0,2.308738708E0,1.435527039E1,-4.884100342E1
4.454208792E0,2.179901123E0,1.446435547E1,-4.869873047E1
4.504211792E0,2.364410400E0,1.448052979E1,-4.875506592E1
4.554214792E0,2.365238190E0,1.453723145E1,-4.897381592E1
4.604217792E0,2.378498077E0,1.466848755E1,-4.889672852E1
4.654220792E0,2.153526306E0,1.462031555E1,-4.858892822E1
4.704223792E0,2.376766205E0,1.452171326E1,-4.866180420E1
4.754226792E0,2.202201843E0,1.462661743E1,-4.871136475E1
4.804230792E0,2.380516052E0,1.453477478E1,-4.886785889E1
4.854233792E0,2.350887299E0,1.448324585E1,-4.911859131E1
4.904236792E0,2.681980133E0,1.459095764E1,-4.892321777E1
4.954239792E0,2.470100403E0,1.442797852E1,-4.852471924E1
5.004242792E0,2.467739105E0,1.434716797E1,-4.857745361E1
5.054245792E0,2.676410675E0,1.422135925E1,-4.875177002E1
5.104248792E0,2.589561462E0,1.423379517E1,-4.866510010E1
5.154251792E0,2.525512695E0,1.408216858E1,-4.900024414E1
5.204254792E0,2.574630737E0,1.424424744E1,-4.901306152E1
5.254257542E0,2.555458069E0,1.423109436E1,-4.863739014E1
5.304260542E0,2.535362244E0,1.432287598E1,-4.892956543E1
5.354263542E0,2.630985260E0,1.427772522E1,-4.901501465E1
5.404266542E0,2.672630310E0,1.434977722E1,-4.903570557E1
5.454269542E0,2.811042786E0,1.415853882E1,-4.904656982E1
5.504272542E0,2.600864410E0,1.429603577E1,-4.900122070E1
