"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.139513667E0,1.279067993E0,1.223689270E1,-5.191329956E1
5.189826667E0,1.099609375E0,1.245958710E1,-5.193893433E1
5.240140667E0,8.443145752E-1,1.213365173E1,-5.207519531E1
5.290453667E0,9.267730713E-1,1.198832703E1,-5.187747192E1
5.340766667E0,1.162643433E0,1.194883728E1,-5.186022949E1
5.391079667E0,1.075042725E0,1.211265564E1,-5.191433716E1
5.441392667E0,1.427139282E0,1.228342438E1,-5.212551880E1
5.491705667E0,1.333358765E0,1.226119995E1,-5.220129395E1
5.542018667E0,9.753265381E-1,1.222211456E1,-5.143539429E1
5.592331666E0,1.162490845E0,1.222520447E1,-5.179568481E1
5.642644667E0,9.877166748E-1,1.239379120E1,-5.221539307E1
5.692957667E0,1.129531860E0,1.212170410E1,-5.191906738E1
5.743270417E0,9.611663818E-1,1.212123108E1,-5.206622314E1
5.793583417E0,1.587158203E0,1.194707489E1,-5.169680786E1
5.843896417E0,1.003250122E0,1.222875977E1,-5.176208496E1
5.894209417E0,7.935943604E-1,1.195486450E1,-5.150714111E1
5.944522417E0,1.121032715E0,1.204917145E1,-5.219372559E1
5.994836417E0,1.041809082E0,1.251878357E1,-5.168664551E1
6.045149417E0,1.113769531E0,1.232451630E1,-5.189123535E1
6.095462417E0,1.068939209E0,1.217010498E1,-5.177420044E1
6.145775417E0,1.066940308E0,1.214501953E1,-5.176751709E1
6.196088417E0,1.101593018E0,1.228806305E1,-5.171902466E1
6.246401417E0,1.007263184E0,1.274300385E1,-5.147439575E1
6.296714417E0,8.739013672E-1,1.243794250E1,-5.171478271E1
6.347027417E0,7.607116699E-1,1.241259766E1,-5.168740845E1
6.397340417E0,8.959350586E-1,1.228664398E1,-5.180313110E1
6.447653417E0,7.530975342E-1,1.228750610E1,-5.129827881E1
6.497966417E0,5.454101562E-1,1.226290131E1,-5.131707764E1
6.548279417E0,7.807769775E-1,1.229809570E1,-5.149774170E1
6.598592417E0,9.932708740E-1,1.226668549E1,-5.206521606E1
6.648905417E0,6.547851562E-1,1.243198395E1,-5.214016724E1
6.699218417E0,8.428955078E-1,1.232192993E1,-5.171603394E1
6.749531708E0,8.051757812E-1,1.222220612E1,-5.172616577E1
6.799844708E0,5.405578613E-1,1.252037048E1,-5.141931152E1
6.850157708E0,1.200668335E0,1.260151672E1,-5.177252197E1
6.900470708E0,9.286956787E-1,1.258168793E1,-5.175778198E1
6.950783708E0,4.666900635E-1,1.219326782E1,-5.136639404E1
7.001096708E0,9.868316650E-1,1.234239960E1,-5.159237671E1
7.051409708E0,1.281509399E0,1.248616791E1,-5.139685059E1
7.101722708E0,1.087738037E0,1.238761902E1,-5.196875000E1
7.152035708E0,8.947753906E-1,1.256049347E1,-5.199658203E1
7.202349708E0,8.411712646E-1,1.261426544E1,-5.157025146E1
7.252662708E0,9.306030273E-1,1.240260315E1,-5.168603516E1
7.302975708E0,8.680725098E-1,1.261901093E1,-5.112365723E1
7.353288708E0,1.044921875E0,1.255641937E1,-5.134628296E1
7.403601708E0,1.274566650E0,1.256873322E1,-5.160995483E1
7.453914708E0,1.057678223E0,1.257421875E1,-5.183828735E1
7.504227708E0,1.211776733E0,1.272851562E1,-5.174365234E1
7.554540708E0,1.164398193E0,1.253444672E1,-5.202355957E1
7.604853708E0,1.001953125E0,1.255654144E1,-5.184747314E1
7.655166708E0,1.183303833E0,1.270160675E1,-5.179916382E1
7.705480167E0,1.081573486E0,1.256449127E1,-5.236450195E1
7.755793167E0,1.106857300E0,1.268576050E1,-5.171789551E1
7.806106167E0,1.335983276E0,1.275883484E1,-5.179220581E1
7.856419167E0,1.200790405E0,1.273957825E1,-5.229623413E1
7.906732167E0,8.600158691E-1,1.295959473E1,-5.221640015E1
7.957045167E0,6.116943359E-1,1.283703613E1,-5.199267578E1
8.007358167E0,9.408111572E-1,1.307833862E1,-5.150167847E1
8.057671167E0,1.022491455E0,1.294271851E1,-5.211749268E1
8.107984167E0,9.244384766E-1,1.323951721E1,-5.195227051E1
8.158297167E0,8.745727539E-1,1.314472961E1,-5.198699951E1
8.208610167E0,9.614562988E-1,1.315915680E1,-5.188143921E1
8.258923167E0,7.778778076E-1,1.308932495E1,-5.138906860E1
8.309236167E0,8.376617432E-1,1.326433563E1,-5.182717896E1
8.359549167E0,7.679138184E-1,1.330068970E1,-5.170166016E1
8.409862167E0,6.391906738E-1,1.322637939E1,-5.177624512E1
8.460175167E0,8.694610596E-1,1.314540863E1,-5.169378662E1
8.510488167E0,8.772583008E-1,1.324188232E1,-5.157977295E1
8.560801167E0,6.508789062E-1,1.325407410E1,-5.130273438E1
8.611114167E0,6.593322754E-1,1.305879974E1,-5.137261963E1
8.661427167E0,8.026123047E-1,1.327597809E1,-5.205377197E1
8.711740083E0,8.015747070E-1,1.312212372E1,-5.191540527E1
